"movie_title","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","aspect_ratio","movie_facebook_likes","imdb_score"
"Blindness ","Color","Fernando Meirelles","229","121","353","18","Joe Pingue","45","3073392","Don McKellar","59462","142","Yûsuke Iseya","0","http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1","300","English","Canada","R","25000000","2008","30","1.85","0","6.6"
"Cleopatra ","Color","Joseph L. Mankiewicz","72","251","311","595","Richard Burton","940","57750000","Martin Landau","21554","2957","Roddy McDowall","2","http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1","192","English","UK","Approved","31115000","1963","726","2.2","0","7"
"Out of Time ","Color","Carl Franklin","124","114","73","323","Sanaa Lathan","18000","40905277","Denzel Washington","45895","19739","John Billingsley","3","http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1","157","English","USA","R","50000000","2003","886","2.35","1000","6.5"
"My Best Friend's Girl ","Color","Howard Deutch","80","112","41","490","Taran Killam","1000","19151864","Dane Cook","36983","3301","Riki Lindhome","3","http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1","100","English","USA","R","40000000","2008","500","1.85","0","5.9"
"Ruby in Paradise ","Color","Victor Nunez","11","114","9","86","Todd Field","159","1001437","Allison Dean","2039","423","Dorothy Lyman","1","http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1","28","English","USA","R","800000","1993","143","1.85","81","7.2"
"The Quiet ","Color","Jamie Babbit","65","91","91","659","David Gallagher","982","381186","Katy Mixon","13485","3299","Edie Falco","0","http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1","90","English","USA","R","900000","2005","796","2.35","698","6.4"
"The Powerpuff Girls             ","Color",,"7","30",,"265","Jennifer Hale","971",,"Elizabeth Daily","23664","2346","Tom Kane","0","http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1","60","English","USA","TV-Y7",,,"918","4","581","7.2"
"Black November ","Color","Jeta Amata","6","95","20","36","Nathin Butler","262",,"Akon","385","409","Razaaq Adoti","3","http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1","4","English","Nigeria",,"7500000","2012","65",,"389","5.6"
"Dodgeball: A True Underdog Story "," Black and White","Rawson Marshall Thurber","191","92","43","936","Stephen Root","989","114324072","Gary Cole","185338","4730","Joel David Moore","0","http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1","392","English","USA","PG-13","20000000","2004","939","2.35","0","6.7"
"Grand Theft Parsons ","Color","David Caffrey","51","88","4","95","Scott Adsit","690",,"Marley Shelton","2953","1438","Jim Cody Williams","1","http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1","38","English","USA","PG-13",,"2003","316","1.85","480","6.1"
"Losin' It ","Color","Curtis Hanson","7","100","161","172","Shelley Long","10000",,"Tom Cruise","3114","11059","Rick Rossovich","0","http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1","16","English","Canada","R","7000000","1983","422",,"168","4.8"
"Royal Kill ","Color","Babar Ahmed","8","90","0","32","Alexander Wraith","502",,"Lalaine","476","689","Darren Kendrick","0","http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1","18","English","USA","PG-13","350000","2009","119",,"53","3.2"
"Steamboy ","Color","Katsuhiro Ôtomo","105","103","78","101","Robin Atkin Downes","488","410388","William Hootkins","13727","991","Rosalind Ayres","1","http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1","79","Japanese","Japan","PG-13","2127519898","2004","336","1.85","973","6.9"
"The French Connection ","Color","William Friedkin","138","104","607","109","Fernando Rey","813",,"Roy Scheider","82476","1196","Tony Lo Bianco","0","http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1","280","English","USA","R","1800000","1971","165","1.85","0","7.8"
"The Return of the Pink Panther ","Color","Blake Edwards","33","113","688","80","Herbert Lom","462",,"Burt Kwouk","19596","971","Catherine Schell","0","http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1","73","English","UK","G","5000000","1975","278","2.35","620","7.1"
"Flags of Our Fathers ","Color","Clint Eastwood","279","135","16000","310","Chris Bauer","23000","33574332","Paul Walker","101221","24468","Tom McCarthy","0","http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1","415","English","USA","R","90000000","2006","638","2.35","0","7.1"
"El crimen del padre Amaro ","Color","Carlos Carrera","85","118","12","67","Ana Claudia Talancón","201","5709616","Damián Alcázar","11088","546","Pedro Armendáriz Jr.","0","http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1","110","Spanish","Mexico","R","1800000","2002","163","1.85","544","6.8"
"The Secret in Their Eyes ","Color","Juan José Campanella","262","129","195","50","Soledad Villamil","827","20167424","Ricardo Darín","131831","1044","Guillermo Francella","0","http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1","231","Spanish","Argentina","R","2000000","2009","88","2.35","33000","8.2"
"Reservoir Dogs ","Color","Quentin Tarantino","173","99","16000","455","Steve Buscemi","16000","2812029","Quentin Tarantino","664719","28994","Chris Penn","0","http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1","931","English","USA","R","1200000","1992","12000","2.35","19000","8.4"
"Chicken Run ","Color","Peter Lord","187","84","91","206","Miranda Richardson","579","106793915","Imelda Staunton","140499","1817","Julia Sawalha","0","http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1","358","English","UK","G","45000000","2000","530","1.85","0","7"
"Moonrise Kingdom ","Color","Wes Anderson","487","94","0","559","Bill Murray","13000","45507053","Bruce Willis","237848","27911","Bob Balaban","2","http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1","377","English","USA","PG-13","16000000","2012","13000","1.85","71000","7.8"
"Made in Dagenham ","Color","Nigel Cole","163","113","13","594","Robbie Kay","5000","1094798","Bob Hoskins","11158","7692","Sally Hawkins","6","http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1","73","English","UK","R","7200000","2010","629","2.35","0","7.2"
"Casa de mi Padre ","Color","Matt Piedmont","133","84","4","546","Adrian Martinez","8000","5895238","Will Ferrell","17169","10123","Luis E. Carazo","1","http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1","70","Spanish","USA","R","6000000","2012","806","2.35","9000","5.5"
"Remember Me ","Color","Allen Coulter","158","113","47","238","Lena Olin","21000","19057024","Robert Pattinson","113963","22088","Ruby Jerins","0","http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1","361","English","USA","PG-13","16000000","2010","541","1.85","24000","7.2"
"Growing Up Smith ","Color","Frank Lotito",,"102","5","259","Jake Busey","3000",,"Brighton Sharbino","108","4320","Tim Guinee",,"http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1","1","English","USA","PG-13","2000000","2015","660","1.85","232","8.2"
"Mystic Pizza ","Color","Donald Petrie","34","104","80","658","Lili Taylor","8000","12793213","Julia Roberts","18286","10430","Conchata Ferrell","4","http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1","73","English","USA","R","6000000","1988","960","1.85","0","6.2"
"Crossroads ","Color","Tamra Davis","111","93","33","135","Katherine Boecher","1000","37188667","Britney Spears","34219","1531","Dave Allen","1","http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1","578","English","USA","PG-13","12000000","2002","188","1.85","0","3.3"
"Things We Lost in the Fire ","Color","Susanne Bier","146","118","369","295","Omar Benson Miller","1000","2849142","Alison Lohman","24104","1889","Robin Weigert","1","http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1","88","English","USA","R","16000000","2007","418","2.35","0","7.2"
"Arlington Road ","Color","Mark Pellington","155","117","89","442","Spencer Treat Clark","12000","24362501","Jeff Bridges","69980","13576","Hope Davis","1","http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1","591","English","USA","R","21500000","1999","541","2.35","0","7.2"
"Gran Torino ","Color","Clint Eastwood","366","116","16000","198","Dreama Walker","16000","148085755","Clint Eastwood","561773","17347","Ahney Her","0","http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1","871","English","USA","R","33000000","2008","601","2.35","28000","8.2"
"In Good Company ","Color","Paul Weitz","157","109","80","2000","Ty Burrell","19000","45489752","Scarlett Johansson","48973","28493","Dennis Quaid","2","http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1","214","English","USA","PG-13","26000000","2004","3000","1.85","736","6.5"
"Money Talks ","Color","Brett Ratner","29","97","420","585","Paul Sorvino","695","41067398","Heather Locklear","22748","2530","Faizon Love","2","http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1","41","English","USA","R","25000000","1997","635","2.35","666","6.1"
"Fiza "," Black and White","Khalid Mohamed","1","167","10","97","Manoj Bajpayee","353","610991","Karisma Kapoor","2715","773","Jaya Bhaduri","3","http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1","19","Hindi","India",,"1000000","2000","186","2.35","92","6.2"
"Donkey Punch ","Color","Oliver Blackburn","114","99","4","201","Nichola Burley","1000","18378","Julian Morris","9376","1558","Tom Burke","0","http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1","74","English","UK","R","900000","2008","233","1.85","0","5.2"
"The Others ","Color","Alejandro Amenábar","239","101","448","83","Elaine Cassidy","482","96471845","Fionnula Flanagan","268581","956","Eric Sykes","0","http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1","1109","English","USA","PG-13","17000000","2001","203","1.85","20000","7.6"
"Bowling for Columbine "," Black and White","Michael Moore","215","120","909","184","Dick Clark","909","21244913","Michael Moore","123090","1779","Bill Clinton","2","http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1","888","English","Germany","R","4000000","2002","504","1.85","4000","8"
"About Last Night ","Color","Steve Pink","90","100","38","460","Regina Hall","833","48637684","Joe Lo Truglio","16979","2800","Bryan Callen","4","http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1","42","English","USA","R","12500000","2014","807","2.35","0","6.1"
"13 Hours ","Color","Michael Bay","204","144","0","681","James Badge Dale","769","52822418","Toby Stephens","47764","3580","David Costabile","0","http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1","219","English","USA","R","50000000","2016","726","2.35","44000","7.4"
"Case 39 ","Color","Christian Alvart","167","109","22","355","Callum Rennie","14000","13248477","Bradley Cooper","60555","15790","Vanesa Tomasino","1","http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1","174","English","USA","R","27000000","2009","716","2.35","0","6.2"
"Romeo Must Die ","Color","Andrzej Bartkowiak","70","115","43","775","Delroy Lindo","5000","55973336","Jet Li","57040","9082","Aaliyah","1","http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1","365","English","USA","R","25000000","2000","848","2.35","0","6.1"
"Amour ","Color","Michael Haneke","447","127","0","319","Emmanuelle Riva","678","225377","Isabelle Huppert","70382","1557","Jean-Louis Trintignant","1","http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1","190","French","France","PG-13","8900000","2012","432","1.85","33000","7.9"
"C.H.U.D. ","Color","Douglas Cheek","77","96","4","132","John Heard","796",,"Daniel Stern","7528","1866","Sam McMurray","0","http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1","88","English","USA","R","1250000","1984","697","1.85","0","5.5"
"Find Me Guilty ","Color","Sidney Lumet","94","125","0","968","Vin Diesel","22000","1172769","Peter Dinklage","28068","37606","Alex Rocco","2","http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1","108","English","Germany","R","13000000","2006","14000","1.85","0","7.1"
"Womb ","Color","Benedek Fliegauf","88","111","28","1000","Matt Smith","6000",,"Eva Green","9957","9244","Hannah Murray","1","http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1","35","English","Germany","Unrated","3660000","2010","2000","2.35","0","6.4"
"Inescapable ","Color","Ruba Nadda","36","93","55","5","Bonnie Lee Bouman","223","4063","Saad Siddiqui","2086","242","Fadia Nadda","3","http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1","20","English","Canada","R","4000000","2012","11","2.35","657","5.2"
"Brave ","Color","Mark Andrews","488","93","56","838","John Ratzenberger","2000","237282182","Kelly Macdonald","273556","5005","Julie Walters","0","http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1","428","English","USA","PG","185000000","2012","1000","2.35","39000","7.2"
"Pride and Prejudice and Zombies ","Color","Burr Steers","225","108","23","845","Bella Heathcote","2000","10907291","Matt Smith","23775","4710","Sam Riley","0","http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1","134","English","USA","PG-13","28000000","2016","860","2.35","73000","5.8"
"Into the Storm ","Color","Steven Quale","228","89","77","159","Alycia Debnam-Carey","490","47553512","Matt Walsh","54101","1367","Scott Lawrence","0","http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1","210","English","USA","PG-13","50000000","2014","298","1.85","15000","5.8"
"Spaced Invaders ","Color","Patrick Read Johnson","16","100","32","175","Royal Dano","610","15369573","Ariana Richards","2580","1441","Tonya Lee Williams","1","http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1","54","English","USA","PG","3000000","1990","232","1.85","710","5.3"
"Big Fish ","Color","Tim Burton","235","125","13000","883","Alison Lohman","12000","66257002","Steve Buscemi","350698","16138","Albert Finney","0","http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1","816","English","USA","PG-13","70000000","2003","1000","1.37","26000","8"
"Shame ","Color","Steve McQueen","486","101","0","726","Nicole Beharie","13000","4000304","Michael Fassbender","145395","15230","James Badge Dale","0","http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1","375","English","UK","NC-17","6500000","2011","898","2.35","23000","7.3"
"What Just Happened ","Color","Barry Levinson","137","104","272","17000","Robin Wright","22000","1089365","Robert De Niro","23767","71973","Kristen Stewart","1","http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1","111","English","USA","R","25000000","2008","18000","2.35","845","5.7"
"Blue Car ","Color","Karen Moncrieff","44","88","22","275","Agnes Bruckner","638","464126","Frances Fisher","3142","1641","A.J. Buckley","0","http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1","68","English","USA","R","1000000","2002","400","1.85","115","6.7"
"Saving Grace             ","Color",,"9","60",,"904","Dylan Minnette","1000",,"Holly Hunter","3852","5203","Bokeem Woodbine","1","http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1","47","English","USA","TV-MA",,,"1000","1.78","634","7.5"
"The Players Club ","Color","Ice Cube","22","104","0","498","Monica Calhoun","1000","23031390","Bernie Mac","4345","2868","Chrystale Wilson","9","http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1","26","English","USA","R","4500000","1998","597","1.85","575","5.6"
"Madea's Family Reunion ","Color","Tyler Perry","46","107","0","685","Cicely Tyson","1000","63231524","Boris Kodjoe","8962","5264","Blair Underwood","4","http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1","137","English","USA","PG-13","6000000","2006","907","1.85","676","5"
"Top Five ","Color","Chris Rock","161","102","0","555","Romany Malco","3000","25277561","Rosario Dawson","21672","5592","J.B. Smoove","10","http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1","93","English","USA","R","12000000","2014","966","2.35","0","6.5"
"Rise of the Planet of the Apes ","Color","Rupert Wyatt","529","105","81","779","David Oyelowo","11000","176740650","James Franco","403836","13118","Tyler Labine","0","http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1","646","English","USA","PG-13","93000000","2011","1000","2.35","47000","7.6"
"It's Always Sunny in Philadelphia             ","Color",,"79","22",,"424","Kaitlin Olson","813",,"Rob McElhenney","133415","1784","Glenn Howerton","5","http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1","151","English","USA","TV-MA",,,"547","1.33","0","8.8"
"The Unborn ","Color","David S. Goyer","178","89","687","389","Atticus Shaffer","10000","42638165","Gary Oldman","42183","12183","Rachel Brosnahan","1","http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1","230","English","USA","PG-13","16000000","2009","787","2.35","0","4.8"
"Days of Heaven ","Color","Terrence Malick","112","94","0","180","Stuart Margolin","820",,"Sam Shepard","37594","1618","Richard Libertini","0","http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1","181","English","USA","PG","3000000","1978","350","1.85","0","8"
"Star Trek Into Darkness ","Color","J.J. Abrams","590","132","14000","928","Bruce Greenwood","19000","228756232","Benedict Cumberbatch","395573","21411","Noel Clarke","0","http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1","1171","English","USA","PG-13","190000000","2013","981","2.35","92000","7.8"
"Asterix at the Olympic Games ","Color","Frédéric Forestier","33","116","0","141","Santiago Segura","936",,"Alain Delon","20567","1609","Vanessa Hessler","1","http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1","36","French","France",,"78000000","2008","276","2.35","291","5.1"
"Savages "," Black and White","Oliver Stone","339","141","0","404","Shea Whigham","749","47307550","Demián Bichir","104301","1948","Gary Stretch","4","http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1","269","English","USA","R","45000000","2012","463","2.35","28000","6.5"
"Summer Catch ","Color","Michael Tollin","50","108","19","505","Brian Dennehy","973","19693891","Marc Blucas","12993","3344","Bruce Davison","2","http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1","107","English","USA","PG-13","34000000","2001","954","1.85","476","4.9"
"Underclassman ","Color","Marcos Siega","31","95","32","324","Nick Cannon","843","5654777","Cheech Marin","4875","2165","Kaylee DeFer","3","http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1","26","English","USA","PG-13","25000000","2005","593","2.35","206","4.1"
"Wrong Turn ","Color","Rob Schmidt","191","84","36","648","Lindy Booth","2000","15417771","Kevin Zegers","87494","3416","Julian Richings","1","http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1","540","English","USA","R","12600000","2003","683","1.85","0","6.1"
"Million Dollar Baby ","Color","Clint Eastwood","268","132","16000","567","Morgan Freeman","16000","100422786","Clint Eastwood","482064","28830","Mike Colter","1","http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1","1106","English","USA","PG-13","30000000","2004","11000","2.35","14000","8.1"
"Poolhall Junkies ","Color","Mars Callahan","41","99","60","444","Ricky Schroder","979","562059","Chazz Palminteri","8535","3130","Ernie Reyes Jr.","4","http://www.imdb.com/title/tt0273982/?ref_=fn_tt_tt_1","113","English","USA","R","4000000","2002","665","1.85","872","7"
"Inchon ","Color","Terence Young","10","140","92","522","Ben Gazzara","1000",,"Laurence Olivier","491","2704","Jacqueline Bisset","1","http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1","16","English","South Korea","PG","48000000","1981","623","2.35","115","2.7"
"How to Train Your Dragon 2 ","Color","Dean DeBlois","292","102","255","953","Djimon Hounsou","18000","176997107","Gerard Butler","221128","23378","America Ferrera","5","http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1","343","English","USA","PG","145000000","2014","3000","2.35","46000","7.9"
"Blast from the Past ","Color","Hugh Wilson","95","112","37","480","Sissy Spacek","3000","26494611","Brendan Fraser","48621","5709","Douglas Smith","0","http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1","239","English","USA","PG-13","35000000","1999","874","2.35","0","6.6"
"Road Hard ","Color","Adam Carolla","14","98","102","360","Jim O'Heir","563","105943","Jay Mohr","1351","2628","David Alan Grier","0","http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1","11","English","USA",,"1500000","2015","485",,"212","6.1"
"Star Trek ","Color","J.J. Abrams","518","127","14000","981","Leonard Nimoy","26000","257704099","Chris Hemsworth","504419","39284","Bruce Greenwood","0","http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1","1559","English","USA","PG-13","150000000","2009","12000","2.35","19000","8"
"Holy Motors ","Color","Leos Carax","332","115","227","226","Leos Carax","690",,"Kylie Minogue","29440","1298","Denis Lavant","0","http://www.imdb.com/title/tt2076220/?ref_=fn_tt_tt_1","110","French","France","Not Rated",,"2012","227","1.85","12000","7.1"
"Wolves ","Color","David Hayter","59","91","512","413","Jennifer Hale","11000",,"Jason Momoa","5693","13545","Stephen McHattie","2","http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1","34","English","France","R","18000000","2014","918","2.35","0","5.3"
"High Noon "," Black and White","Fred Zinnemann","153","85","160","433","Lloyd Bridges","998",,"Gary Cooper","80193","2496","Lon Chaney Jr.","0","http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1","333","English","USA","PG","750000","1952","575","1.37","3000","8.1"
"Code Name: The Cleaner ","Color","Les Mayfield","53","91","10","436","Will Patton","716","8104069","Callum Rennie","9785","2700","Cedric the Entertainer","3","http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1","26","English","USA","PG-13","20000000","2007","537","1.85","233","4.5"
"Legend of the Guardians: The Owls of Ga'Hoole ","Color","Zack Snyder","188","101","0","577","Richard Roxburgh","2000","55673333","Abbie Cornish","65785","4286","Anthony LaPaglia","1","http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1","160","English","USA","PG","80000000","2010","653","2.35","16000","7"
"The Mask ","Color","Chuck Russell","57","114","55","360","Amy Yasbeck","789","119938730","Peter Greene","265818","2085","Reg E. Cathey","0","http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1","213","English","USA","PG-13","18000000","1994","424","1.85","0","6.9"
"Tremors ","Color","Ron Underwood","132","96","31","536","Ariana Richards","651","16667084","Reba McEntire","90070","3119","Michael Gross","0","http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1","248","English","USA","PG-13","11000000","1990","610","1.85","11000","7.1"
"Burn After Reading ","Color","Ethan Coen","341","96","1000","681","Brad Pitt","24000","60338891","J.K. Simmons","248468","36093","Kevin Sussman","0","http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1","545","English","USA","R","37000000","2008","11000","1.85","0","7"
"The Ballad of Jack and Rose ","Color","Rebecca Miller","75","112","58","42","Susanna Thompson","552","712294","Beau Bridges","9408","859","Ryan McDonald","1","http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1","68","English","USA","R","1500000","2005","265","1.66","608","6.7"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Color","Andrew Adamson","284","150","80","82","Kiran Shah","1000","291709845","Jim Broadbent","286506","1317","Shane Rangi","5","http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1","1463","English","USA","PG","180000000","2005","190","2.35","0","6.9"
"King Kong ","Color","Peter Jackson","446","201","0","84","Thomas Kretschmann","6000","218051260","Naomi Watts","316020","7122","Evan Parke","0","http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1","2618","English","New Zealand","PG-13","207000000","2005","918","2.35","0","7.2"
"Hard Rain ","Color","Mikael Salomon","79","97","13","695","Minnie Driver","11000","19819494","Morgan Freeman","26893","13628","Randy Quaid","0","http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1","126","English","USA","R","70000000","1998","893","2.35","815","5.8"
"R100 ","Color","Hitoshi Matsumoto","72","99","17","16","Hitoshi Matsumoto","31","22770","Lindsay Kay Hayward","1658","81","Shinobu Terajima","0","http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1","12","Japanese","Japan","Unrated","5500000","2013","17","1.85","543","6.1"
"Samsara ","Color","Ron Fricke","115","102","330","0","Balinese Tari Legong Dancers","48","2601847","Collin Alfredo St. Dic","22457","48","Puti Sri Candra Dewi","0","http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1","69","None","USA","PG-13","4000000","2011","0","2.35","26000","8.5"
"Creepshow ","Color","George A. Romero","127","130","0","602","Hal Holbrook","875",,"Ted Danson","29932","2662","Adrienne Barbeau","0","http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1","211","English","USA","R","8000000","1982","826","1.85","0","6.9"
"An Everlasting Piece ","Color","Barry Levinson","34","103","272","70","Brían F. O'Byrne","736","75078","Anna Friel","1398","1403","Pauline McLynn","4","http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1","26","English","USA","R","14000000","2000","450","1.85","132","6.3"
"Invasion U.S.A. ","Color","Joseph Zito","54","107","17","53","Richard Lynch","371",,"Billy Drago","6143","857","Eddie Jones","1","http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1","90","English","USA","R","10000000","1985","324","1.85","0","5.3"
