movie_title,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,imdb_score
Grand Theft Parsons ,Color,David Caffrey,51.0,88.0,4.0,95.0,Scott Adsit,690.0,,Adventure|Comedy|Drama,Marley Shelton,2953,1438,Jim Cody Williams,1.0,guitar|hearse|manager|musician|singer,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,38.0,English,USA,PG-13,,2003.0,316.0,1.85,480,6.1
Losin' It ,Color,Curtis Hanson,7.0,100.0,161.0,172.0,Shelley Long,10000.0,,Comedy|Drama|Family,Tom Cruise,3114,11059,Rick Rossovich,0.0,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,16.0,English,Canada,R,7000000.0,1983.0,422.0,,168,4.8
Royal Kill ,Color,Babar Ahmed,8.0,90.0,0.0,32.0,Alexander Wraith,502.0,,Action|Thriller,Lalaine,476,689,Darren Kendrick,0.0,assassin|female assassin|kingdom|martial arts|mission,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18.0,English,USA,PG-13,350000.0,2009.0,119.0,,53,3.2
Steamboy ,Color,Katsuhiro Ôtomo,105.0,103.0,78.0,101.0,Robin Atkin Downes,488.0,410388.0,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,13727,991,Rosalind Ayres,1.0,19th century|ball|boy|inventor|steam,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,79.0,Japanese,Japan,PG-13,2127519898.0,2004.0,336.0,1.85,973,6.9
The French Connection ,Color,William Friedkin,138.0,104.0,607.0,109.0,Fernando Rey,813.0,,Action|Crime|Drama|Thriller,Roy Scheider,82476,1196,Tony Lo Bianco,0.0,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280.0,English,USA,R,1800000.0,1971.0,165.0,1.85,0,7.8
The Return of the Pink Panther ,Color,Blake Edwards,33.0,113.0,688.0,80.0,Herbert Lom,462.0,,Comedy|Crime|Mystery,Burt Kwouk,19596,971,Catherine Schell,0.0,clouseau|diamond|panther|pink|pink panther,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73.0,English,UK,G,5000000.0,1975.0,278.0,2.35,620,7.1
Flags of Our Fathers ,Color,Clint Eastwood,279.0,135.0,16000.0,310.0,Chris Bauer,23000.0,33574332.0,Drama|History|War,Paul Walker,101221,24468,Tom McCarthy,0.0,imperial japan|japan|japanese army|japanese soldier|world war two,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,415.0,English,USA,R,90000000.0,2006.0,638.0,2.35,0,7.1
El crimen del padre Amaro ,Color,Carlos Carrera,85.0,118.0,12.0,67.0,Ana Claudia Talancón,201.0,5709616.0,Drama|Romance,Damián Alcázar,11088,546,Pedro Armendáriz Jr.,0.0,church|love|mexico|politics|priest,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110.0,Spanish,Mexico,R,1800000.0,2002.0,163.0,1.85,544,6.8
The Secret in Their Eyes ,Color,Juan José Campanella,262.0,129.0,195.0,50.0,Soledad Villamil,827.0,20167424.0,Drama|Mystery|Thriller,Ricardo Darín,131831,1044,Guillermo Francella,0.0,investigation|justice|murder|suspect|tension,http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1,231.0,Spanish,Argentina,R,2000000.0,2009.0,88.0,2.35,33000,8.2
Reservoir Dogs ,Color,Quentin Tarantino,173.0,99.0,16000.0,455.0,Steve Buscemi,16000.0,2812029.0,Crime|Drama|Thriller,Quentin Tarantino,664719,28994,Chris Penn,0.0,gang|heist|heist gone wrong|nonlinear timeline|robbery,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,931.0,English,USA,R,1200000.0,1992.0,12000.0,2.35,19000,8.4
Chicken Run ,Color,Peter Lord,187.0,84.0,91.0,206.0,Miranda Richardson,579.0,106793915.0,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,140499,1817,Julia Sawalha,0.0,chicken|escape|farm|freedom|rooster,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,358.0,English,UK,G,45000000.0,2000.0,530.0,1.85,0,7.0
Moonrise Kingdom ,Color,Wes Anderson,487.0,94.0,0.0,559.0,Bill Murray,13000.0,45507053.0,Adventure|Comedy|Drama|Romance,Bruce Willis,237848,27911,Bob Balaban,2.0,1960s|boy scouts|boy scouts camp|coming of age|young love,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,377.0,English,USA,PG-13,16000000.0,2012.0,13000.0,1.85,71000,7.8
Made in Dagenham ,Color,Nigel Cole,163.0,113.0,13.0,594.0,Robbie Kay,5000.0,1094798.0,Biography|Comedy|Drama|History,Bob Hoskins,11158,7692,Sally Hawkins,6.0,equal pay|machinist|minister|protest|sex,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73.0,English,UK,R,7200000.0,2010.0,629.0,2.35,0,7.2
Casa de mi Padre ,Color,Matt Piedmont,133.0,84.0,4.0,546.0,Adrian Martinez,8000.0,5895238.0,Comedy|Western,Will Ferrell,17169,10123,Luis E. Carazo,1.0,absurd humor|drug lord|mexico|ranch|spaghetti western,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70.0,Spanish,USA,R,6000000.0,2012.0,806.0,2.35,9000,5.5
Remember Me ,Color,Allen Coulter,158.0,113.0,47.0,238.0,Lena Olin,21000.0,19057024.0,Drama|Romance,Robert Pattinson,113963,22088,Ruby Jerins,0.0,binge drinking|new york|new york city|september 11 2001|suicide,http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1,361.0,English,USA,PG-13,16000000.0,2010.0,541.0,1.85,24000,7.2
Growing Up Smith ,Color,Frank Lotito,,102.0,5.0,259.0,Jake Busey,3000.0,,Comedy|Drama|Family,Brighton Sharbino,108,4320,Tim Guinee,,adolescence|girl next door|growing vegetables|high standards|sent away,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1.0,English,USA,PG-13,2000000.0,2015.0,660.0,1.85,232,8.2
Mystic Pizza ,Color,Donald Petrie,34.0,104.0,80.0,658.0,Lili Taylor,8000.0,12793213.0,Comedy|Drama|Romance,Julia Roberts,18286,10430,Conchata Ferrell,4.0,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73.0,English,USA,R,6000000.0,1988.0,960.0,1.85,0,6.2
Crossroads ,Color,Tamra Davis,111.0,93.0,33.0,135.0,Katherine Boecher,1000.0,37188667.0,Comedy|Drama,Britney Spears,34219,1531,Dave Allen,1.0,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578.0,English,USA,PG-13,12000000.0,2002.0,188.0,1.85,0,3.3
Things We Lost in the Fire ,Color,Susanne Bier,146.0,118.0,369.0,295.0,Omar Benson Miller,1000.0,2849142.0,Drama,Alison Lohman,24104,1889,Robin Weigert,1.0,best friend|dinner|garage|narcotics anonymous|recovery,http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1,88.0,English,USA,R,16000000.0,2007.0,418.0,2.35,0,7.2
Arlington Road ,Color,Mark Pellington,155.0,117.0,89.0,442.0,Spencer Treat Clark,12000.0,24362501.0,Crime|Drama|Thriller,Jeff Bridges,69980,13576,Hope Davis,1.0,death|fbi|fbi agent|neighbor|professor,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,591.0,English,USA,R,21500000.0,1999.0,541.0,2.35,0,7.2
Gran Torino ,Color,Clint Eastwood,366.0,116.0,16000.0,198.0,Dreama Walker,16000.0,148085755.0,Drama,Clint Eastwood,561773,17347,Ahney Her,0.0,gang|gang rape|hmong|teenager|widower,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,871.0,English,USA,R,33000000.0,2008.0,601.0,2.35,28000,8.2
In Good Company ,Color,Paul Weitz,157.0,109.0,80.0,2000.0,Ty Burrell,19000.0,45489752.0,Comedy|Drama|Romance,Scarlett Johansson,48973,28493,Dennis Quaid,2.0,company|corporate takeover|executive|magazine|new boss,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,214.0,English,USA,PG-13,26000000.0,2004.0,3000.0,1.85,736,6.5
Money Talks ,Color,Brett Ratner,29.0,97.0,420.0,585.0,Paul Sorvino,695.0,41067398.0,Action|Comedy|Crime|Thriller,Heather Locklear,22748,2530,Faizon Love,2.0,blood splatter|fistfight|murder|police|prison bus,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,41.0,English,USA,R,25000000.0,1997.0,635.0,2.35,666,6.1
Fiza , Black and White,Khalid Mohamed,1.0,167.0,10.0,97.0,Manoj Bajpayee,353.0,610991.0,Drama|Romance,Karisma Kapoor,2715,773,Jaya Bhaduri,3.0,mumbai riots|politician|riot|suicide|tragic event,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,19.0,Hindi,India,,1000000.0,2000.0,186.0,2.35,92,6.2
Donkey Punch ,Color,Oliver Blackburn,114.0,99.0,4.0,201.0,Nichola Burley,1000.0,18378.0,Crime|Drama|Horror|Thriller,Julian Morris,9376,1558,Tom Burke,0.0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,74.0,English,UK,R,900000.0,2008.0,233.0,1.85,0,5.2
The Others ,Color,Alejandro Amenábar,239.0,101.0,448.0,83.0,Elaine Cassidy,482.0,96471845.0,Fantasy|Horror|Thriller,Fionnula Flanagan,268581,956,Eric Sykes,0.0,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,1109.0,English,USA,PG-13,17000000.0,2001.0,203.0,1.85,20000,7.6
Bowling for Columbine , Black and White,Michael Moore,215.0,120.0,909.0,184.0,Dick Clark,909.0,21244913.0,Crime|Documentary|Drama,Michael Moore,123090,1779,Bill Clinton,2.0,bank|columbine|columbine high school killings|firearm|school shooting,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,888.0,English,Germany,R,4000000.0,2002.0,504.0,1.85,4000,8.0
About Last Night ,Color,Steve Pink,90.0,100.0,38.0,460.0,Regina Hall,833.0,48637684.0,Comedy|Romance,Joe Lo Truglio,16979,2800,Bryan Callen,4.0,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,42.0,English,USA,R,12500000.0,2014.0,807.0,2.35,0,6.1
13 Hours ,Color,Michael Bay,204.0,144.0,0.0,681.0,James Badge Dale,769.0,52822418.0,Action|Drama|Thriller|War,Toby Stephens,47764,3580,David Costabile,0.0,based on true story|cia agent|libya|mercenary|u.s. ambassador,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219.0,English,USA,R,50000000.0,2016.0,726.0,2.35,44000,7.4
Case 39 ,Color,Christian Alvart,167.0,109.0,22.0,355.0,Callum Rennie,14000.0,13248477.0,Horror|Mystery|Thriller,Bradley Cooper,60555,15790,Vanesa Tomasino,1.0,death|fear|hairy chest|social worker|spinning in chair,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,174.0,English,USA,R,27000000.0,2009.0,716.0,2.35,0,6.2
Romeo Must Die ,Color,Andrzej Bartkowiak,70.0,115.0,43.0,775.0,Delroy Lindo,5000.0,55973336.0,Action|Crime|Thriller,Jet Li,57040,9082,Aaliyah,1.0,death|hong kong|kung fu|prison|waterfront,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,365.0,English,USA,R,25000000.0,2000.0,848.0,2.35,0,6.1
Amour ,Color,Michael Haneke,447.0,127.0,0.0,319.0,Emmanuelle Riva,678.0,225377.0,Drama|Romance,Isabelle Huppert,70382,1557,Jean-Louis Trintignant,1.0,aging|daughter|old couple|old love|stroke,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,190.0,French,France,PG-13,8900000.0,2012.0,432.0,1.85,33000,7.9
C.H.U.D. ,Color,Douglas Cheek,77.0,96.0,4.0,132.0,John Heard,796.0,,Horror|Sci-Fi,Daniel Stern,7528,1866,Sam McMurray,0.0,bum|city|mutant|new york city|street,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,88.0,English,USA,R,1250000.0,1984.0,697.0,1.85,0,5.5
Find Me Guilty ,Color,Sidney Lumet,94.0,125.0,0.0,968.0,Vin Diesel,22000.0,1172769.0,Biography|Comedy|Crime|Drama,Peter Dinklage,28068,37606,Alex Rocco,2.0,court|drugs|judge|mafia|mobster,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,108.0,English,Germany,R,13000000.0,2006.0,14000.0,1.85,0,7.1
Womb ,Color,Benedek Fliegauf,88.0,111.0,28.0,1000.0,Matt Smith,6000.0,,Drama|Romance|Sci-Fi,Eva Green,9957,9244,Hannah Murray,1.0,clone|love|male nudity|medical ethics|virginity,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,35.0,English,Germany,Unrated,3660000.0,2010.0,2000.0,2.35,0,6.4
Inescapable ,Color,Ruba Nadda,36.0,93.0,55.0,5.0,Bonnie Lee Bouman,223.0,4063.0,Drama|Mystery|Romance|Thriller,Saad Siddiqui,2086,242,Fadia Nadda,3.0,,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,20.0,English,Canada,R,4000000.0,2012.0,11.0,2.35,657,5.2
Brave ,Color,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,273556,5005,Julie Walters,0.0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,PG,185000000.0,2012.0,1000.0,2.35,39000,7.2
Pride and Prejudice and Zombies ,Color,Burr Steers,225.0,108.0,23.0,845.0,Bella Heathcote,2000.0,10907291.0,Action|Horror|Romance,Matt Smith,23775,4710,Sam Riley,0.0,based on novel|damsel in distress|deception|england|zombie,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,134.0,English,USA,PG-13,28000000.0,2016.0,860.0,2.35,73000,5.8
Into the Storm ,Color,Steven Quale,228.0,89.0,77.0,159.0,Alycia Debnam-Carey,490.0,47553512.0,Action|Thriller,Matt Walsh,54101,1367,Scott Lawrence,0.0,danger|graduation|storm|teenage boy|tornado,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,210.0,English,USA,PG-13,50000000.0,2014.0,298.0,1.85,15000,5.8
Spaced Invaders ,Color,Patrick Read Johnson,16.0,100.0,32.0,175.0,Royal Dano,610.0,15369573.0,Adventure|Comedy|Sci-Fi,Ariana Richards,2580,1441,Tonya Lee Williams,1.0,alien|halloween|killer robot|outer space|wrestler costume,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,54.0,English,USA,PG,3000000.0,1990.0,232.0,1.85,710,5.3
Big Fish ,Color,Tim Burton,235.0,125.0,13000.0,883.0,Alison Lohman,12000.0,66257002.0,Adventure|Drama|Fantasy,Steve Buscemi,350698,16138,Albert Finney,0.0,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,816.0,English,USA,PG-13,70000000.0,2003.0,1000.0,1.37,26000,8.0
Shame ,Color,Steve McQueen,486.0,101.0,0.0,726.0,Nicole Beharie,13000.0,4000304.0,Drama,Michael Fassbender,145395,15230,James Badge Dale,0.0,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,375.0,English,UK,NC-17,6500000.0,2011.0,898.0,2.35,23000,7.3
What Just Happened ,Color,Barry Levinson,137.0,104.0,272.0,17000.0,Robin Wright,22000.0,1089365.0,Comedy|Drama,Robert De Niro,23767,71973,Kristen Stewart,1.0,actor|agent|beard|cannes|hollywood,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,111.0,English,USA,R,25000000.0,2008.0,18000.0,2.35,845,5.7
Blue Car ,Color,Karen Moncrieff,44.0,88.0,22.0,275.0,Agnes Bruckner,638.0,464126.0,Drama,Frances Fisher,3142,1641,A.J. Buckley,0.0,contest|poetry|refusing to eat|starving oneself|teenage girl,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,68.0,English,USA,R,1000000.0,2002.0,400.0,1.85,115,6.7
Saving Grace             ,Color,,9.0,60.0,,904.0,Dylan Minnette,1000.0,,Drama|Fantasy,Holly Hunter,3852,5203,Bokeem Woodbine,1.0,catholic|death row|inmate|oklahoma city|sexual promiscuity,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47.0,English,USA,TV-MA,,,1000.0,1.78,634,7.5
The Players Club ,Color,Ice Cube,22.0,104.0,0.0,498.0,Monica Calhoun,1000.0,23031390.0,Comedy|Drama,Bernie Mac,4345,2868,Chrystale Wilson,9.0,catfight|dominatrix|rape|spanking|stripper,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26.0,English,USA,R,4500000.0,1998.0,597.0,1.85,575,5.6
Madea's Family Reunion ,Color,Tyler Perry,46.0,107.0,0.0,685.0,Cicely Tyson,1000.0,63231524.0,Comedy|Drama|Romance,Boris Kodjoe,8962,5264,Blair Underwood,4.0,cross dressing|family reunion|madea series|reflective|sister sister relationship,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,137.0,English,USA,PG-13,6000000.0,2006.0,907.0,1.85,676,5.0
Top Five ,Color,Chris Rock,161.0,102.0,0.0,555.0,Romany Malco,3000.0,25277561.0,Comedy|Romance,Rosario Dawson,21672,5592,J.B. Smoove,10.0,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,93.0,English,USA,R,12000000.0,2014.0,966.0,2.35,0,6.5
Rise of the Planet of the Apes ,Color,Rupert Wyatt,529.0,105.0,81.0,779.0,David Oyelowo,11000.0,176740650.0,Action|Drama|Sci-Fi|Thriller,James Franco,403836,13118,Tyler Labine,0.0,alzheimer's disease|ape|chimpanzee|fire|when animals attack,http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1,646.0,English,USA,PG-13,93000000.0,2011.0,1000.0,2.35,47000,7.6
It's Always Sunny in Philadelphia             ,Color,,79.0,22.0,,424.0,Kaitlin Olson,813.0,,Comedy,Rob McElhenney,133415,1784,Glenn Howerton,5.0,alcohol|bad taste humour|crude humor|loser|self obsession,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,151.0,English,USA,TV-MA,,,547.0,1.33,0,8.8
The Unborn ,Color,David S. Goyer,178.0,89.0,687.0,389.0,Atticus Shaffer,10000.0,42638165.0,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,42183,12183,Rachel Brosnahan,1.0,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230.0,English,USA,PG-13,16000000.0,2009.0,787.0,2.35,0,4.8
Days of Heaven ,Color,Terrence Malick,112.0,94.0,0.0,180.0,Stuart Margolin,820.0,,Drama|Romance,Sam Shepard,37594,1618,Richard Libertini,0.0,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,181.0,English,USA,PG,3000000.0,1978.0,350.0,1.85,0,8.0
Star Trek Into Darkness ,Color,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,395573,21411,Noel Clarke,0.0,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171.0,English,USA,PG-13,190000000.0,2013.0,981.0,2.35,92000,7.8
